"AC" "TC" "DESCR" "OS" "GN" "PE" "SV"
"2597" "G5CPN9" "1.A.51.1.4" "Voltage-gated proton channel kHv1" "Karlodinium veneficum" "" "2" "1"
"2598" "G5CPY6" "1.G.2.1.7" "Fusion glycoprotein F0" "Hendra virus" "F" "3" "1"
"2599" "G5DGB4" "1.G.18.1.3" "S protein (Fragment)" "Feline coronavirus" "" "4" "1"
"2600" "G5EB95" "3.A.1.5.40" "Nickel transport ATP-binding protein NikE" "Helicobacter hepaticus (strain ATCC 51449 / 3B1)" "nikE" "4" "1"
"2601" "G5ED30" "8.A.16.4.1" "Cell junction protein VAB-9" "Caenorhabditis elegans" "vab-9" "2" "1"
"2602" "G5EDB8" "3.A.2.2.7" "Protein VHA-4" "Caenorhabditis elegans" "vha-4" "2" "1"
"2603" "G5EDH1" "3.A.2.2.7" "Protein VHA-7, isoform a" "Caenorhabditis elegans" "vha-7" "2" "1"
"2604" "G5EDU0" "2.A.1.19.50" "Multispecific organic anion transporter" "Caenorhabditis elegans" "oat-1" "2" "1"
"2605" "G5EE02" "1.A.4.1.10" "Protein TRP-2, isoform a" "Caenorhabditis elegans" "trp-2" "2" "1"
"2606" "G5EEE2" "1.A.1.5.19" "Protein TAX-2" "Caenorhabditis elegans" "tax-2" "4" "1"
"2607" "G5EEK9" "3.A.2.2.7" "Protein VHA-5" "Caenorhabditis elegans" "vha-5" "2" "1"
"2608" "G5EF61" "9.B.97.2.2" "Protein NDG-4, isoform a" "Caenorhabditis elegans" "ndg-4" "2" "1"
"2609" "G5EG02" "1.A.1.11.21" "Protein EGL-19, isoform a" "Caenorhabditis elegans" "egl-19" "2" "1"
"2610" "G5EGP4" "3.A.2.2.7" "Protein VHA-6" "Caenorhabditis elegans" "vha-6" "2" "1"
"2611" "G5GIE0" "1.E.52.3.1" "Putative uncharacterized protein" "Johnsonella ignava ATCC 51276" "HMPREF9333_01330" "4" "1"
"2612" "G5LV43" "9.B.121.1.3" "Uncharacterized protein YhjG" "Salmonella enterica subsp. enterica serovar Alachua str. R6-377" "LTSEALA_5126" "4" "1"
"2613" "G6DTR0" "8.A.40.1.13" "Tetraspanin E118" "Danaus plexippus" "KGM_10518" "4" "1"
"2614" "G6E6Q7" "1.E.34.1.10" "Uncharacterized protein" "Novosphingobium pentaromativorans US6-1" "NSU_0028" "4" "1"
"2615" "G6FN26" "1.B.23.1.9" "Carbohydrate-selective porin OprB" "Fischerella sp. JSC-11" "FJSC11DRAFT_0273" "4" "1"
"2616" "G6FZ36" "1.E.40.2.1" "Putative uncharacterized protein" "Fischerella sp. JSC-11" "FJSC11DRAFT_4135" "4" "1"
"2617" "G6XK71" "1.B.5.1.14" "Putative polyphosphate-selective porin O" "Gluconobacter morbifer G707" "GMO_18000" "4" "1"
"2618" "G6YX28" "1.C.106.2.3" "Putative uncharacterized protein" "Marinobacter manganoxydans MnI7-9" "KYE_17208" "4" "1"
"2619" "G7DE39" "1.B.4.2.4" "Putative uncharacterized protein" "Bradyrhizobium japonicum USDA 6" "BJ6T_29070" "4" "1"
"2620" "G7DMK5" "2.A.1.56.2" "Uncharacterized protein" "Bradyrhizobium japonicum USDA 6" "BJ6T_10310" "4" "1"
"2621" "G7HJF5" "2.A.108.2.9" "Periplasmic protein p19 involved in high-affinity Fe2+ transport" "Burkholderia cenocepacia H111" "ftrA" "4" "1"
"2622" "G7HJF6" "2.A.108.2.9" "Putative exported protein" "Burkholderia cenocepacia H111" "ftrB" "4" "1"
"2623" "G7HJF7" "2.A.108.2.9" "High-affinity iron permease" "Burkholderia cenocepacia H111" "ftrC" "4" "1"
"2624" "G7HRD4" "9.B.143.1.1" "DUF1275 domain-containing protein" "Burkholderia cenocepacia H111" "I35_6472" "4" "1"
"2625" "G7HYA1" "1.B.34.1.3" "Putative uncharacterized protein" "Corynebacterium casei UCMA 3821" "CCAS_08285" "4" "1"
"2626" "G7LE38" "3.A.1.204.16" "ABC transporter G family member" "Medicago truncatula" "MTR_8g093840" "3" "1"
"2627" "G7U9A2" "1.A.43.1.3" "Putative fluoride ion transporter CrcB" "Propionibacterium acnes ATCC 11828" "crcB" "3" "1"
"2628" "G7U9U2" "2.A.79.1.3" "Putative uncharacterized protein" "Propionibacterium acnes ATCC 11828" "TIIST44_11145" "4" "1"
"2629" "G7US21" "1.B.46.1.5" "Outer-membrane lipoprotein LolB" "Pseudoxanthomonas spadix (strain BD-a59)" "lolB" "3" "1"
"2630" "G7V388" "9.B.104.7.1" "Rhomboid family protein" "Lactobacillus rhamnosus ATCC 8530" "LRHK_381" "4" "1"
"2631" "G7VW71" "9.A.22.3.1" "Putative uncharacterized protein" "Paenibacillus terrae (strain HPL-003)" "HPL003_10555" "4" "1"
"2632" "G7WF32" "9.B.54.1.2" "Uncharacterized protein" "Desulfosporosinus orientis (strain ATCC 19365 / DSM 765 / NCIMB 8382 / VKM B-1628)" "Desor_2034" "4" "1"
"2633" "G7WKF9" "9.B.102.1.7" "YeeE/YedE family lipoprotein" "Methanosaeta harundinacea (strain 6Ac)" "Mhar_1422" "4" "1"
"2634" "G7XY82" "9.B.143.5.1" "DUF1275 domain protein" "Aspergillus kawachii (strain NBRC 4308)" "AKAW_10005" "4" "1"
"2635" "g7zqb8" "1.A.77.3.20" "Putative ATP synthase protein I" "Staphylococcus aureus subsp. aureus MSHR1132" "SAMSHR1132_19330" "4" "1"
"2636" "G7ZU97" "1.A.3.2.9" "Calcium-release channel I-1a" "Paramecium tetraurelia" "crc-I-1a" "4" "1"
"2637" "G7ZUA0" "1.A.3.2.10" "Calcium-release channel III-1a" "Paramecium tetraurelia" "crc-III-1a" "4" "1"
"2638" "G7ZUA3" "1.A.3.2.11" "Calcium-release channel IV-3b" "Paramecium tetraurelia" "crc-IV-3b" "4" "1"
"2639" "G7ZUA4" "1.A.3.2.12" "Calcium-release channel V-4b" "Paramecium tetraurelia" "crc-V-4b" "4" "1"
"2640" "G7ZUA5" "1.A.3.2.13" "Calcium-release channel VI-2b" "Paramecium tetraurelia" "crc-VI-2b" "4" "1"
"2641" "G7ZUA6" "1.A.3.2.8" "Calcium-release channel VI-3" "Paramecium tetraurelia" "crc-VI-3" "4" "1"
"2642" "G7ZYU6" "5.B.2.2.1" "Ferric-chelate reductase" "Medicago truncatula" "MTR_078s1014" "4" "1"
"2643" "G8ATL2" "8.A.48.1.4" "Uncharacterized protein" "Azospirillum brasilense Sp245" "AZOBR_p1120071" "4" "1"
"2644" "G8EFI5" "1.G.12.2.3" "GP2" "Lloviu virus" "" "4" "1"
"2645" "G8FSA8" "1.C.106.1.1" "Vip2" "Bacillus thuringiensis" "vip2" "4" "1"
"2646" "G8GB89" "2.A.1.49.9" "Cis, cis-muconate transporter protein" "Bombyx mori" "+cts" "2" "1"
"2647" "G8I4E3" "1.E.57.1.4" "Gp33" "Mycobacterium phage DS6A" "33" "4" "1"
"2648" "G8I7H6" "1.E.36.4.1" "Gp48" "Mycobacterium phage Ares" "48" "4" "1"
"2649" "G8I884" "1.E.36.1.2" "Gp48" "Mycobacterium phage Acadian" "48" "4" "1"
"2650" "G8I8E9" "1.E.36.6.3" "Gp16" "Mycobacterium phage Acadian" "16" "4" "1"
"2651" "G8IIS8" "1.A.9.5.3" "Gamma-aminobutyric receptor alpha 2 subunit" "Spodoptera litura" "" "3" "1"
"2652" "G8LJX5" "9.B.142.2.2" "Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase" "Enterobacter cloacae EcWSU1" "arnT" "3" "1"
"2653" "G8LS65" "1.B.14.15.7" "Uncharacterized protein" "Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu" "BLBCPU_396" "4" "1"
"2654" "G8N7A2" "2.A.113.1.11" "High-affinity nickel-transporter" "Geobacillus thermoleovorans CCB_US3_UF5" "GTCCBUS3UF5_21020" "4" "1"
"2655" "G8NT63" "9.A.55.1.11" "Uncharacterized protein" "Granulicella mallensis (strain ATCC BAA-1857 / DSM 23137 / MP5ACTX8)" "AciX8_3192" "4" "1"
"2656" "G8P203" "1.E.9.1.2" "Putative uncharacterized protein" "Granulicella mallensis (strain ATCC BAA-1857 / DSM 23137 / MP5ACTX8)" "AciX8_2745" "4" "1"
"2657" "G8PPB1" "9.B.163.1.6" "Putative uncharacterized protein" "Pseudovibrio sp. (strain FO-BEG1)" "PSE_3820" "4" "1"
"2658" "G8Q5B0" "2.A.117.1.9" "Transmembrane pair domain-containing protein" "Pseudomonas fluorescens F113" "PSF113_1939" "4" "1"
"2659" "G8QGV5" "1.B.25.1.23" "Outer membrane porin, OprD family" "Azospira oryzae (strain ATCC BAA-33 / DSM 13638 / PS)" "Dsui_2952" "4" "1"
"2660" "G8QHP3" "2.A.117.1.10" "Putative membrane protein" "Azospira oryzae (strain ATCC BAA-33 / DSM 13638 / PS)" "Dsui_0787" "4" "1"
"2661" "G8QPL3" "9.B.28.2.2" "Putative integral membrane protein" "Azospira oryzae (strain ATCC BAA-33 / DSM 13638 / PS)" "Dsui_0455" "4" "1"
"2662" "G8QWD3" "9.B.28.1.9" "Uncharacterized protein" "Sphaerochaeta pleomorpha (strain ATCC BAA-1885 / DSM 22778 / Grapes)" "SpiGrapes_1624" "4" "1"
"2663" "G8QY15" "2.A.1.37.4" "Arabinose efflux permease family protein" "Sphaerochaeta pleomorpha (strain ATCC BAA-1885 / DSM 22778 / Grapes)" "SpiGrapes_0679" "4" "1"
"2664" "G8R4N1" "1.B.35.2.3" "Hemolysin activation/secretion protein" "Owenweeksia hongkongensis (strain DSM 17368 / JCM 12287 / NRRL B-23963)" "Oweho_2181" "4" "1"
"2665" "G8RD42" "2.A.38.4.6" "Potassium uptake protein , integral membranecomponent, KtrD" "Staphylococcus aureus subsp. aureus M013" "M013TW_0950" "4" "1"
"2666" "G8RFY4" "2.A.52.1.5" "HoxN/HupN/NixA family nickel/cobalt transporter" "Staphylococcus aureus subsp. aureus M013" "M013TW_2680" "4" "1"
"2667" "G8T983" "9.A.24.1.6" "TspO/MBR family protein" "Niastella koreensis (strain DSM 17620 / KACC 11465 / GR20-10)" "Niako_1686" "4" "1"
"2668" "G8TN58" "1.E.9.1.6" "Immunity protein, putative" "Niastella koreensis (strain DSM 17620 / KACC 11465 / GR20-10)" "Niako_1372" "4" "1"
"2669" "G8TQP6" "1.B.14.15.4" "Uncharacterized protein" "Niastella koreensis (strain DSM 17620 / KACC 11465 / GR20-10)" "Niako_0382" "4" "1"
"2670" "G8TWN6" "9.A.55.1.14" "Uncharacterized protein" "Sulfobacillus acidophilus (strain ATCC 700253 / DSM 10332 / NAL)" "Sulac_2563" "4" "1"
"2671" "G8V089" "2.A.38.4.6" "Ktr system potassium uptake protein A" "Staphylococcus aureus subsp. aureus 11819-97" "ktrA" "4" "1"
"2672" "G8V0I4" "3.A.1.5.33" "Nickel ABC transporter, nickel/metallophore periplasmic binding protein" "Staphylococcus aureus subsp. aureus 11819-97" "nikA" "4" "1"
"2673" "G8V398" "2.A.38.4.6" "Ktr system potassium uptake protein B" "Staphylococcus aureus subsp. aureus 11819-97" "ktrB" "4" "1"
"2674" "G8WDN2" "2.A.7.21.5" "Uncharacterized protein" "Klebsiella oxytoca (strain ATCC 8724 / DSM 4798 / JCM 20051 / NBRC 3318 / NRRL B-199 / KCTC 1686)" "KOX_20230" "4" "1"
"2675" "G8WDN3" "2.A.7.21.5" "Uncharacterized protein" "Klebsiella oxytoca (strain ATCC 8724 / DSM 4798 / JCM 20051 / NBRC 3318 / NRRL B-199 / KCTC 1686)" "KOX_20235" "4" "1"
"2676" "G8WDN4" "2.A.76.1.10" "Lysine exporter (LYSE/YGGA)" "Klebsiella oxytoca (strain ATCC 8724 / DSM 4798 / JCM 20051 / NBRC 3318 / NRRL B-199 / KCTC 1686)" "KOX_20240" "4" "1"
"2677" "G8XTL8" "1.A.14.4.4" "Membrane protein US12A" "Simian cytomegalovirus (strain Colburn)" "US12A" "4" "1"
"2678" "G8YEP6" "1.A.88.1.9" "Piso0_002307 protein" "Pichia sorbitophila (strain ATCC MYA-4447 / BCRC 22081 / CBS 7064 / NBRC 10061 / NRRL Y-12695)" "Piso0_002307" "4" "1"
"2679" "G8YY04" "1.A.8.8.10" "Aquaporin" "Blattella germanica" "aqp" "2" "1"
"2680" "G8ZNA0" "9.A.54.3.2" "Uncharacterized protein" "Torulaspora delbrueckii (strain ATCC 10662 / CBS 1146 / NBRC 0425 / NCYC 2629 / NRRL Y-866)" "TDEL0A07620" "4" "1"
"2681" "G9BHJ0" "1.A.1.5.13" "Cyclic nucleotide gated ion channel alpha 3 variant 3" "Oncorhynchus mykiss" "CNGA3" "2" "1"
"2682" "G9BMI9" "2.A.1.19.49" "Glucose transporter 1" "Litopenaeus vannamei" "Gluct1" "2" "1"
"2683" "G9CHY8" "3.A.1.135.3" "SatA" "Streptococcus suis" "" "3" "1"
"2684" "G9CHY9" "3.A.1.135.3" "SatB" "Streptococcus suis" "" "4" "1"
"2685" "G9D9U4" "1.C.39.14.3" "Macrophage expressed protein" "Haliotis midae" "Mpeg1" "4" "1"
"2686" "G9DCX5" "1.C.105.1.2" "Vip3 protein" "Bacillus thuringiensis" "vip3Ca2" "4" "1"
"2687" "G9EQG6" "1.B.76.1.4" "Putative uncharacterized protein" "Legionella drancourtii LLAP12" "LDG_7513" "4" "1"
"2688" "G9FS16" "2.A.1.3.46" "Florfenicol exporter protein,FexB" "Enterococcus faecium" "fexB" "4" "1"
"2689" "G9P430" "9.B.142.3.5" "Glycosyltransferase family 66 protein" "Hypocrea atroviridis (strain ATCC 20476 / IMI 206040)" "TRIATDRAFT_148028" "4" "1"
"2690" "G9PU91" "1.B.23.1.20" "Putative uncharacterized protein" "Synergistes sp. 3_1_syn1" "HMPREF1006_02726" "4" "1"
"2691" "G9W9J5" "9.B.153.2.1" "Putative outer membrane protein" "Salmonella enterica subsp. enterica serovar Baildon str. R6-199" "LTSEBAI_4117" "4" "1"
"2692" "G9YIN5" "1.B.23.1.8" "Putative uncharacterized protein (Fragment)" "Anaeroglobus geminatus F0357" "HMPREF0080_01529" "4" "1"
"2693" "H0I9I2" "1.E.36.1.6" "Uncharacterized protein" "Mycobacterium massiliense CCUG 48898" "MMAS_17690" "4" "1"
"2694" "H0J079" "9.B.13.1.2" "Entericidin EcnAB" "Halomonas sp. GFAJ-1" "MOY_05155" "4" "1"
"2695" "H0KI06" "9.B.124.1.3" "Aminopeptidase C" "Aggregatibacter actinomycetemcomitans RhAA1" "RHAA1_10601" "4" "1"
"2696" "H0QY58" "1.B.24.1.3" "Porin MspA" "Gordonia effusa NBRC 100432" "mspA" "4" "1"
"2697" "H0R417" "9.B.145.1.6" "Putative uncharacterized protein" "Gordonia effusa NBRC 100432" "GOEFS_095_00530" "4" "1"
"2698" "H1FSB1" "1.B.25.1.25" "Uncharacterized protein" "Sulfurimonas gotlandica GD1" "SMGD1_0130" "4" "1"
"2699" "H1FTF7" "1.B.25.1.28" "Putative outer membrane porin" "Sulfurimonas gotlandica GD1" "SMGD1_2744" "4" "1"
"2700" "H1H7C5" "9.B.155.2.7" "Putative uncharacterized protein" "Myroides odoratimimus CIP 101113" "HMPREF9715_02013" "4" "1"
"2701" "H1HDR4" "2.A.79.1.4" "Putative uncharacterized protein" "Fusobacterium nucleatum subsp. animalis OT 420" "HMPREF9942_00615" "4" "1"
"2702" "H1HY79" "1.C.28.3.2" "Putative uncharacterized protein" "Bacillus sp. 1NLA3E" "B1NLA3EDRAFT_0211" "4" "1"
"2703" "H1KSX0" "1.B.70.1.4" "Porin" "Methylobacterium extorquens DSM 13060" "MetexDRAFT_5733" "4" "1"
"2704" "H1NW38" "1.B.16.2.4" "Phosphate-selective porin O and P" "Holophaga foetida DSM 6591" "HolfoDRAFT_3384" "4" "1"
"2705" "H1NZL7" "1.B.1.5.6" "Porin" "Holophaga foetida DSM 6591" "HolfoDRAFT_2297" "4" "1"
"2706" "H1NZZ9" "1.B.23.2.2" "Uncharacterized protein" "Holophaga foetida DSM 6591" "HolfoDRAFT_1994" "4" "1"
"2707" "H1P0L8" "1.B.23.2.3" "Uncharacterized protein" "Holophaga foetida DSM 6591" "HolfoDRAFT_1898" "4" "1"
"2708" "H1P259" "1.B.23.2.1" "Uncharacterized protein" "Holophaga foetida DSM 6591" "HolfoDRAFT_0661" "4" "1"
"2709" "H1PVU7" "1.E.26.7.3" "Uncharacterized protein" "Fusobacterium ulcerans 12-1B" "HMPREF0402_02540" "4" "1"
"2710" "H1RRJ5" "1.E.6.3.4" "Putative uncharacterized protein" "Comamonas testosteroni ATCC 11996" "CTATCC11996_14293" "4" "1"
"2711" "H1XWB7" "1.B.9.4.5" "Membrane protein involved in aromatic hydrocarbon degradation" "Caldithrix abyssi DSM 13497" "Calab_1070" "4" "1"
"2712" "H2ABT5" "1.E.19.2.3" "Putative holin" "Bacillus amyloliquefaciens subsp. plantarum CAU B946" "yqxH1" "4" "1"
"2713" "H2AV64" "1.A.43.2.2" "Uncharacterized protein" "Kazachstania africana (strain ATCC 22294 / BCRC 22015 / CBS 2517 / CECT 1963 / NBRC 1671 / NRRL Y-8276)" "KAFR0E01100" "3" "1"
"2714" "H2B829" "2.A.66.2.18" "Wzx" "Salmonella enterica subsp. enterica serovar Minnesota" "wzx" "4" "1"
"2715" "H2B831" "2.A.66.2.19" "Wzx" "Salmonella enterica subsp. houtenae serovar 48:g,z51:-" "wzx" "4" "1"
"2716" "H2BD74" "1.E.56.1.7" "Putative uncharacterized protein" "Pseudomonas phage phi297" "phi297_00039" "4" "1"
"2717" "H2BUR8" "9.B.67.6.5" "Uncharacterized protein" "Gillisia limnaea DSM 15749" "Gilli_1047" "4" "1"
"2718" "H2CB90" "9.B.142.8.1" "Glycosyl transferase family 39" "Leptonema illini DSM 21528" "Lepil_0526" "4" "1"
"2719" "H2CCS6" "1.B.74.1.4" "Uncharacterized protein" "Leptonema illini DSM 21528" "Lepil_0664" "4" "1"
"2720" "H2CHC3" "2.A.106.3.1" "Putative uncharacterized protein" "Leptonema illini DSM 21528" "Lepil_3337" "4" "1"
"2721" "H2CJW4" "1.B.37.1.2" "Outer membrane protein" "Leptonema illini DSM 21528" "Lepil_0321" "4" "1"
"2722" "H2D0G3" "1.E.56.1.1" "Holin" "Salmonella phage SPN1S" "SPN1S_0027" "4" "1"
"2723" "H2DEA2" "1.G.12.2.1" "Envelope protein syncytin-Car1" "Felis catus" "" "4" "1"
"2724" "H2DJV9" "2.A.17.4.6" "Oligopeptide transporter PEPT1" "Fundulus heteroclitus macrolepidotus" "SLC15A1b" "2" "1"
"2725" "H2E274" "2.A.1.3.65" "MFS multidrug transporter" "Trichoderma harzianum" "mfs1" "2" "1"
"2726" "H2EJJ3" "2.A.58.1.6" "Type IIb Na-dependent phosphate cotransporter" "Sus scrofa" "Npt2B" "2" "1"
"2727" "H2EZS9" "1.A.1.2.14" "Potassium channel Kv1 (Fragment)" "Octopus vulgaris" "" "2" "1"
"2728" "H2FLD7" "1.C.85.2.4" "Crotamine-like" "Thamnodynastes strigatus" "" "4" "1"
"2729" "H2G2H8" "1.A.77.3.24" "Integral membrane protein" "Corynebacterium diphtheriae (strain 31A)" "CD31A_1052" "4" "1"
"2730" "H2GL07" "9.B.142.11.6" "Arabinofuranosyltrasnferase" "Corynebacterium diphtheriae (strain INCA 402)" "aftB" "4" "1"
"2731" "H2GNT2" "1.B.59.1.5" "Uncharacterized protein" "Corynebacterium diphtheriae (strain BH8)" "CDBH8_1986" "4" "1"
"2732" "H2GWS5" "9.B.139.3.1" "Putative secreted protein" "Corynebacterium diphtheriae (strain ATCC 27012 / C7 (beta))" "CDC7B_1867" "4" "1"
"2733" "H2GZC3" "3.A.1.122.11" "ABC transporter system involved in hemin toxicity ATP-binding protein" "Corynebacterium diphtheriae (strain ATCC 27012 / C7 (beta))" "hrtA" "3" "1"
"2734" "H2GZC4" "3.A.1.122.11" "ABC transporter system involved in hemin toxicity inner membrane protein" "Corynebacterium diphtheriae (strain ATCC 27012 / C7 (beta))" "hrtB" "4" "1"
"2735" "H2HGQ5" "1.E.19.1.6" "Holin protein" "Corynebacterium diphtheriae (strain HC02)" "CDHC02_1635" "4" "1"
"2736" "H2HWQ5" "1.C.113.1.6" "Putative membrane protein" "Corynebacterium diphtheriae (strain HC04)" "CDHC04_1807" "4" "1"
"2737" "H2IWN4" "1.B.26.2.2" "Uncharacterized protein" "Rahnella aquatilis (strain ATCC 33071 / DSM 4594 / JCM 1683 / NBRC 105701 / NCIMB 13365 / CIP 78.65)" "Rahaq2_4330" "4" "1"
"2738" "H2J4D8" "1.E.26.1.5" "Phage holin protein (Holin_LLH)" "Marinitoga piezophila (strain DSM 14283 / JCM 11233 / KA3)" "Marpi_0343" "4" "1"
"2739" "H2J7Q9" "1.B.48.2.3" "Uncharacterized protein" "Marinitoga piezophila (strain DSM 14283 / JCM 11233 / KA3)" "Marpi_0988" "4" "1"
"2740" "H2J7Z5" "2.A.103.1.6" "Bacterial cell division membrane protein" "Marinitoga piezophila (strain DSM 14283 / JCM 11233 / KA3)" "Marpi_1074" "4" "1"
"2741" "H2JXL4" "3.A.1.19.3" "ABC transporter substrate-binding protein" "Streptomyces hygroscopicus subsp. jinggangensis (strain 5008)" "SHJG_6735" "4" "1"
"2742" "H2JXL5" "3.A.1.19.3" "ABC transporter integral membrane protein" "Streptomyces hygroscopicus subsp. jinggangensis (strain 5008)" "SHJG_6736" "3" "1"
"2743" "H2JXL6" "3.A.1.19.3" "ABC transporter ATP-binding protein" "Streptomyces hygroscopicus subsp. jinggangensis (strain 5008)" "SHJG_6737" "3" "1"
"2744" "H2K1T5" "2.A.116.1.3" "Uncharacterized protein" "Streptomyces hygroscopicus subsp. jinggangensis (strain 5008)" "SHJG_5068" "4" "1"
"2745" "H2NHK4" "1.C.108.2.1" "Uncharacterized protein" "Pongo abelii" "LACRT" "4" "1"
"2746" "H2SME2" "9.B.41.1.4" "Uncharacterized protein" "Takifugu rubripes" "" "4" "1"
"2747" "H3DH48" "1.A.7.1.7" "P2X purinoceptor (Fragment)" "Tetraodon nigroviridis" "P2RX7" "3" "1"
"2748" "H3HVU8" "8.A.45.1.4" "Uncharacterized protein" "Strongylocentrotus purpuratus" "" "4" "1"
"2749" "H3HYH7" "2.A.90.2.1" "Uncharacterized protein" "Strongylocentrotus purpuratus" "" "4" "1"
"2750" "H3LJ26" "1.E.53.1.6" "Putative uncharacterized protein" "Klebsiella oxytoca 10-5243" "HMPREF9687_00477" "4" "1"
"2751" "H3LPG4" "1.E.2.1.6" "Lambda family phage holin" "Klebsiella oxytoca 10-5243" "HMPREF9687_02096" "4" "1"
"2752" "H3MU69" "1.C.103.1.2" "Small toxic protein tisB" "Klebsiella oxytoca 10-5246" "HMPREF9690_04814" "4" "1"
"2753" "H3P2R4" "9.B.141.1.2" "Hypothetical membrane protein, YibE/F family" "Lactobacillus plantarum subsp. plantarum NC8" "nc8_0863" "4" "1"
"2754" "H3RDR5" "1.E.5.1.4" "Phage holin" "Pantoea stewartii subsp. stewartii DC283" "CKS_2612" "4" "1"
"2755" "H5KWQ5" "2.A.49.7.1" "Voltage gated chloride channel family protein" "Escherichia coli DEC13A" "ECDEC13A_2608" "4" "1"
"2756" "H5RPX4" "1.B.58.1.2" "Membrane protein" "Nocardia brasiliensis ATCC 700358" "O3I_10529" "4" "1"
"2757" "H5SVY7" "2.A.104.2.1" "Putative uncharacterized protein" "uncultured crenarchaeote" "HGMM_F45C05C38" "4" "1"
"2758" "H5TII5" "1.E.34.1.3" "Putative uncharacterized protein" "Gordonia otitidis NBRC 100426" "GOOTI_060_00050" "4" "1"
"2759" "H5WQY7" "1.B.13.1.3" "Putative uncharacterized protein" "Burkholderiales bacterium JOSHI_001" "BurJ1DRAFT_3967" "4" "1"
"2760" "H5X1B8" "2.A.1.21.21" "Arabinose efflux permease family protein" "Saccharomonospora marina XMU15" "SacmaDRAFT_0335" "4" "1"
"2761" "H5XG40" "1.E.28.2.1" "Putative uncharacterized protein" "Saccharomonospora cyanea NA-134" "SaccyDRAFT_3795" "4" "1"
"2762" "H5XK63" "9.B.148.3.2" "Putative uncharacterized protein" "Saccharomonospora cyanea NA-134" "SaccyDRAFT_4691" "4" "1"
"2763" "H6B4G1" "1.A.8.6.4" "Aquaporin 1" "Terfezia claveryi" "AQP1" "2" "1"
"2764" "H6KWI2" "1.B.6.1.15" "OOP family OmpA-OmpF porin" "Treponema pallidum subsp. pertenue (strain Gauthier)" "TPEGAU_0292" "3" "1"
"2765" "H6L3E7" "1.B.75.2.1" "Uncharacterized protein" "Saprospira grandis (strain Lewin)" "SGRA_1059" "4" "1"
"2766" "H6L3M2" "9.B.172.1.4" "Membrane protein" "Saprospira grandis (strain Lewin)" "SGRA_2241" "4" "1"
"2767" "H6L5X3" "1.B.14.6.12" "TonB-dependent receptor plug" "Saprospira grandis (strain Lewin)" "SGRA_3817" "3" "1"
"2768" "H6LDK2" "2.A.1.2.90" "Major facilitator superfamily MFS_1 transporter" "Acetobacterium woodii (strain ATCC 29683 / DSM 1030 / JCM 2381 / KCTC 1655)" "Awo_c11900" "4" "1"
"2769" "H6N4M5" "1.E.43.1.8" "Uncharacterized protein" "Gordonia polyisoprenivorans (strain DSM 44266 / VH2)" "GPOL_c25810" "4" "1"
"2770" "H6QZR2" "9.B.117.2.1" "Uncharacterized protein" "Nocardia cyriacigeorgica (strain GUH-2)" "NOCYR_4669" "4" "1"
"2771" "H6R4F8" "1.E.34.1.1" "Uncharacterized protein" "Nocardia cyriacigeorgica (strain GUH-2)" "NOCYR_1227" "4" "1"
"2772" "H6RNX6" "2.A.7.3.48" "Multidrug resistance efflux transporter EmrE" "Blastococcus saxobsidens (strain DD2)" "BLASA_0476" "4" "1"
"2773" "H6SIV8" "1.E.54.1.2" "Uncharacterized protein" "Rhodospirillum photometricum DSM 122" "RSPPHO_01297" "4" "1"
"2774" "H6SNZ7" "1.E.54.1.5" "Uncharacterized protein" "Rhodospirillum photometricum DSM 122" "RSPPHO_00443" "4" "1"
"2775" "H6SW53" "1.G.15.1.3" "Glycoprotein" "Jos virus" "" "4" "1"
"2776" "H6VUC4" "1.E.3.1.3" "Phage holin protein" "Escherichia phage phiKT" "phiKT_00029" "4" "1"
"2777" "H6WCN3" "1.A.72.3.5" "MerT-P" "Tenacibaculum discolor" "merT-P" "4" "1"
"2778" "H6WCN4" "1.A.72.3.5" "MerP" "Tenacibaculum discolor" "merP" "4" "1"
"2779" "H6WS94" "3.A.1.205.17" "ABCG/PDR subfamily ABC protein" "Petunia hybrida" "PDR1" "2" "1"
"2780" "H7CZV2" "1.E.40.4.3" "Putative uncharacterized protein" "Clostridium perfringens F262" "HA1_15041" "4" "1"
"2781" "H7EHU3" "1.B.56.2.1" "Putative uncharacterized protein" "Treponema saccharophilum DSM 2985" "TresaDRAFT_2309" "4" "1"
"2782" "H7EK91" "1.B.56.1.4" "Porin Oms38" "Treponema saccharophilum DSM 2985" "TresaDRAFT_1730" "4" "1"
"2783" "H7F0T0" "3.D.4.3.3" "Cbb3-type cytochrome c oxidase subunit I" "Pseudomonas stutzeri ATCC 14405 = CCUG 16156" "PstZobell_19483" "4" "1"
"2784" "H7GE27" "1.E.26.11.2" "Uncharacterized protein" "Thermus sp. RL" "RLTM_01540" "4" "1"
"2785" "H8BDK1" "1.B.14.9.4" "TonB-dependent heme receptor" "Campylobacter jejuni subsp. jejuni 110-21" "cje3_06676" "3" "1"
"2786" "H8E4X1" "9.B.18.1.2" "Exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase" "Microbacterium laevaniformans OR221" "OR221_1901" "4" "1"
